key,type,suit,set,copies,image,back_image,image_offset,title_en,title_es,text_en,text_es,back_text_en,back_text_es
Bridge,order,Concrete,Standard,3,CardImages/Bridge,,,Bridge,Puente,"When performing |LEGIONARY action, you |may demand materials |from all players. |You may additionally take one material from each opponent's stockpile. |Ignore Palisades.","Al realizar la |acción de LEGIONARIO, |puedes pedir materiales |a todos los jugadores. |Además, puedes coger un material del almacén, igual al demandado, de cada rival. |Ignora Empalizadas.",,
Castra,order,Rubble,Promo,6,CardImages/Castra,,,Castra,Castra,THINK at the end of a |round in which you lost at |least one card from your |hand to a LEGIONARY.,Haz PENSAR al final de una |ronda en la que hayas perdido |al menos una carta de tu |mano a causa de un LEGIONARIO.,,
Castra Praetoria,order,Brick,Promo,3,CardImages/Castra Praetoria,,,Castra Praetoria,Castra Praetoria,"You may show an |incomplete building to |demand with a LEGIONARY. || |Upon completion, you may |put the material from this |building into your clientele.","Puedes mostrar un |edificio incompleto para |demanda de un LEGIONARIO. || |Al completarse, puedes |poner el material de este |edificio en tu clientela.",,
Catacomb,order,Stone,Standard,3,CardImages/Catacomb,,,Catacomb,Catacumba,"Upon completion, |game ends immediately. |Score as usual.","Al completarse, |el juego finaliza inmediatamente. |Puntúa de forma habitual.",,
Circus,order,Wood,Imperium,6,CardImages/Circus,,,Circus,Circo,You may play two cards of the same role as a JACK.,Puedes jugar dos cartas del mismo rol como un Senador.,,
Circus Maximus,order,Stone,Standard,3,CardImages/Circus Maximus,,,Circus Maximus,Circo Máximo,Each of your clients may perform its action twice when you lead or follow |its role.,Cada uno de tus clientes puede realizar su acción dos veces cuando lideres o sigas |su rol.,,
Colosseum,order,Stone,Imperium,3,CardImages/Colosseum,,,Colosseum,Coliseo,"When performing |LEGIONARY action, you |may additionally take one matching client from each opponent and place it in your vault.","Al realizar la |acción de LEGIONARIO, |puedes adicionalmente coger un cliente coincidente de cada rival y añadirlo en tu tesoro.",,
Crane,order,Wood,Republic,6,CardImages/Crane,,,Crane,Grúa,You may use any card to lead or follow ARCHITECT.,Puedes usar cualquier carta para liderar o seguir al ARQUITECTO.,,
Dock,order,Wood,Standard,6,CardImages/Dock,,,Dock,Muelle,"When performing |LABORER action, you |may take one additional material from your hand.","Al realizar la |acción de OBRERO, |puedes coger un material adicional de tu mano.",,
Domus,order,Wood,Promo,6,CardImages/Domus,,,Domus,Domus,"Upon completion, |you may perform one |PATRON action.","Al completarse, |puedes realizar una |acción de MECENAS.",,
Domus Aurea,order,Stone,Republic,3,CardImages/Domus Aurea,,,Domus Aurea,Domus Aurea,"When performing |LEGIONARY action, you |may additionally tear down one matching incomplete building with no material of each victim. |Place foundation in your |stockpile and site |in your influence.","Al realizar la |acción de LEGIONARIO, |puedes también derribar un edificio del material reclamado, incompleto y sin material, de cada víctima. |Pon los cimientos en tu |almacén y el solar |en tu influencia.",,
Forum,order,Marble,Imperium,3,CardImages/Forum,,,Forum,Foro,You win immediately |whenever you have |a client of each type |in your clientele.,Ganas inmediatamente |siempre que tengas |un cliente de cada rol |en tu clientela.,,
Forum Romanum,order,Marble,Republic,3,CardImages/Forum Romanum,,,Forum Romanum,Foro Romano,You win immediately |whenever you have |a client of each role |in your clientele and |one material of each |type in your stockpile.,Ganas inmediatamente |siempre que tengas |un cliente de cada rol |en tu clientela y |un material de cada |tipo en tu almacén.,,
Foundry,order,Brick,Standard,3,CardImages/Foundry,,,Foundry,Fundición,"Upon completion, |you may perform one LABORER action |for each influence.","Al completarse, |puedes realizar una acción de OBRERO |por cada influencia.",,
Fountain,order,Marble,Standard,3,CardImages/Fountain,,,Fountain,Fuente,"When executing a Craftsman action, you may take a card from the
draw deck instead of from your hand. Upon inspecting the drawn
card, you may either lay it as a foundation, spend a second action
to lay it as a foundation on an out of town site, place the card as a
material into one of his existing foundations, or take the card into
his hand. The function of the Fountain is available as soon as it is
completed.","Al usar la acción de ARTESANO, puedes robar una carta del mazo en vez de tu mano. Puedes usarla normalmente o guardarla en tu mano sin activar la acción.",,
Garden,order,Stone,Standard,3,CardImages/Garden,,,Garden,Jardín,"Upon completion, |you may perform one PATRON action |for each influence.","Al completarse, |puedes realizar una acción de MECENAS |por cada influencia que tengas.",,
Gate,order,Brick,Standard,3,CardImages/Gate,,,Gate,Portón,MARBLE structures provide their functions as soon as you lay their foundations.,Las estructuras de MÁRMOL proporcionan sus funciones tan pronto como coloques sus cimientos.,,
Insula,order,Rubble,Standard,6,CardImages/Insula,,,Insula,Ínsula,Maximum clientele size +2,Tamaño máximo de la clientela +2,,
Latrine,order,Rubble,Standard,6,CardImages/Latrine,,,Latrine,Letrina,"Before performing |THINKER action, you may discard one card to pool.","Antes de realizar la |acción de PENSAR, puedes descartar una carta a la reserva.",,
Ludus Magnus,order,Marble,Standard,3,CardImages/Ludus Magnus,,,Ludus Magnus,Ludus Magnus,Each MERCHANT client |in your clientele |counts as any role.,Cada cliente COMERCIANTE |en tu clientela |cuenta como cualquier rol.,,
Market,order,Wood,Standard,6,CardImages/Market,,,Market,Mercado,Maximum vault size +2,Tamaño máximo del tesoro +2,,
Palace,order,Marble,Standard,3,CardImages/Palace,,,Palace,Palacio,You may play multiple |cards of the same role to |perform additional actions.,Puedes jugar múltiples |cartas del mismo rol para |realizar acciones adicionales.,,
Palisade,order,Wood,Standard,6,CardImages/Palisade,,,Palisade,Empalizada,Immune to |LEGIONARY,Inmune a |LEGIONARIO,,
Plebian Council,order,Marble,Promo,3,CardImages/Plebian Council,,,Plebian Council,Consejo Plebeyo,You win immediately |whenever you have more |LABORER clients than any |other player and there are |more LABORER clients than |LEGIONARY clients in total.,Ganas inmediatamente |siempre que tengas más |clientes OBRERO que cualquier |otro jugador y haya |más clientes OBRERO que |clientes LEGIONARIO en total.,,
Prison,order,Stone,Standard,3,CardImages/Prison,,0.02,Prison,Prisión,"Upon completion, |you may exchange the prison's site (and thus influence) for an opponent's completed structure.","Al completarse, |puedes intercambiar el solar de la prisión (y su influencia) por un edificio completado de un rival.",,
Road,order,Rubble,Standard,6,CardImages/Road,,,Road,Calzada,You may use any material towards the completion of STONE structures.,Puedes usar cualquier material para la construcción de estructuras de PIEDRA.,,
School,order,Brick,Standard,3,CardImages/School,,,School,Escuela,"Upon completion, |you may perform |one THINKER action |for each influence.","Al completarse, |puedes realizar |una acción de PENSAR |por cada influencia que tengas.",,
Scriptorium,order,Stone,Standard,3,CardImages/Scriptorium,,,Scriptorium,Scriptorium,"You may complete any |structure by adding |MARBLE to it, |no matter its stated cost.","Puedes completar cualquier |estructura añadiéndole |MÁRMOL, |sin importar su coste indicado.",,
Senate,order,Concrete,Imperium,3,CardImages/Senate,,,Senate,Senado,"At the end of each turn, |you may take |into your hand |any JACKS played by opponents.","Al final de cada turno, |puedes añadit |a tu mano |los Senadores jugados por los rivales.",,
Sewer,order,Stone,Standard,3,CardImages/Sewer,,,Sewer,Cloaca,You may place order cards you used to lead or follow into your stockpile at the end of your turn.,Al final de cada turno puedes usar las cartas que usaste para liderar o seguir en tu almacén.,,
Shrine,order,Brick,Standard,3,CardImages/Shrine,,,Shrine,Santuario,Hand refill size +2,Tamaño máximo de mano +2,,
Solarium,order,Concrete,Promo,3,CardImages/Solarium,,,Solarium,Solárium,"Whenever you complete a |building using ARCHITECT, |you may move one material |from that building into your |stockpile. This also applies |to Solarium.","Siempre que completes un |edificio usando ARQUITECTO, |puedes mover un material |de ese edificio a tu |almacén. Esto también se aplica |al Solárium.",,
Stairway,order,Marble,Standard,3,CardImages/Stairway,,,Stairway,Escalinata,"When performing |ARCHITECT action, you |may additionally add a material to an opponent's completed structure to make its function available |to all players.","Al realizar la |acción de ARQUITECTO, |puedes añadir un material a una estructura completada de un rival para que su función esté disponible |para todos los jugadores.",,
Statue,order,Marble,Standard,3,CardImages/Statue,,,Statue,Estatua,+3 VP |You may place the statue |on any site.,+3 PV |Puedes colocar la estatua |en cualquier solar.,,
Storeroom,order,Concrete,Standard,3,CardImages/Storeroom,,,Storeroom,Almacén,Each client |in your clientele also |counts as a LABORER.,Cada cliente |en tu clientela también |cuenta como OBRERO.,,
Temple,order,Marble,Standard,3,CardImages/Temple,,,Temple,Templo,Hand refill size +4,Límite de mano +4,,
Tower,order,Concrete,Standard,3,CardImages/Tower,,,Tower,Torre,You may use RUBBLE |in any structure. |You may lay foundations onto out of town sites |at no extra cost.,Puedes usar ESCOMBROS |en cualquier estructura. |Puedes colocar cimientos en solares fuera de la ciudad |sin coste adicional.,,
Tribunal,order,Concrete,Republic,3,CardImages/Tribunal,,,Tribunal,Tribunal,"After performing |THINKER action, you may draw a JACK.","Tras realizar la |acción de PENSADOR, puedes robar un Senador.",,
Triclinium,order,Marble,Promo,3,CardImages/Triclinium,,,Triclinium,Triclinio,"When leading or following, |you may put each client into |your vault after it performs |its role.","Al liderar o seguir, |puedes poner cada cliente en |tu tesoro después de que realice |su rol.",,
Villa,order,Stone,Standard,3,CardImages/Villa,,,Villa,Villa,"If you use the ARCHITECT to put one stone into the construction of the villa, it is completed immediately.",Si usas el ARQUITECTO puedes completar una Villa con solo un material de piedra.,,
Vomitorium,order,Concrete,Standard,3,CardImages/Vomitorium,,,Vomitorium,Vomitorio,"Before performing |THINKER action, you may discard all your cards |to the pool.","Antes de realizar la |acción de PENSAR, puedes descartar todas tus cartas |de la mano a la reserva.",,
Wall,order,Concrete,Standard,3,CardImages/Wall,,,Wall,Muralla,Immune to LEGIONARY. |+1 VP for every two materials in your stockpile.,Inmune a LEGIONARIO. |+1 PV por cada dos materiales en tu almacén.,,
Watch Post,order,Stone,Promo,3,CardImages/Watch Post,,,Watch Post,Puesto de Guardia,You may use a CRAFTSMAN |action to tear down one of |your completed buildings. |Add its foundation to |your hand and its material |to your stockpile.,Puedes usar una acción de |ARTESANO para derribar uno de |tus edificios completados. |Añade sus cimientos a |tu mano y su material |a tu almacén.,,
Watermill,order,Brick,Promo,3,CardImages/Watermill,,,Watermill,Molino de Agua,"At end of a turn in |which you led or |followed LABORER, you |may use each of your |ARCHITECT clients once.","Al final de un turno en el |que hayas liderado o |seguido OBRERO, |puedes usar cada uno de tus |clientes ARQUITECTO una vez.",,
Site Rubble,site,Rubble,Standard,6,Resources/Rubble,,,Rubble,Escombros,foundation +1 material,cimientos +1 material,out of town site,solar fuera de la ciudad
Site Wood,site,Wood,Standard,6,Resources/Wood,,,Wood,Madera,foundation +1 material,cimientos +1 material,out of town site,solar fuera de la ciudad
Site Concrete,site,Concrete,Standard,6,Resources/Concrete,,,Concrete,Hormigón,foundation +2 materials,cimientos +2 materiales,out of town site,solar fuera de la ciudad
Site Brick,site,Brick,Standard,6,Resources/Brick,,,Brick,Ladrillo,foundation +2 materials,cimientos +2 materiales,out of town site,solar fuera de la ciudad
Site Marble,site,Marble,Standard,6,Resources/Marble,,,Marble,Mármol,foundation +3 materials,cimientos +3 materiales,out of town site,solar fuera de la ciudad
Site Stone,site,Stone,Standard,6,Resources/Stone,,,Stone,Piedra,foundation +3 materials,cimientos +3 materiales,out of town site,solar fuera de la ciudad
Merchant Bonus Rubble,merchant_bonus,Rubble,Standard,1,Resources/Rubble,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |RUBBLE in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |ESCOMBROS en su tesoro al |final de la partida.,,
Merchant Bonus Wood,merchant_bonus,Wood,Standard,1,Resources/Wood,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |WOOD in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |MADERA en su tesoro al |final de la partida.,,
Merchant Bonus Concrete,merchant_bonus,Concrete,Standard,1,Resources/Concrete,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |CONCRETE in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |HORMIGÓN en su tesoro al |final de la partida.,,
Merchant Bonus Brick,merchant_bonus,Brick,Standard,1,Resources/Brick,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |BRICK in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |LADRILLO en su tesoro al |final de la partida.,,
Merchant Bonus Marble,merchant_bonus,Marble,Standard,1,Resources/Marble,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |MARBLE in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |MÁRMOL en su tesoro al |final de la partida.,,
Merchant Bonus Stone,merchant_bonus,Stone,Standard,1,Resources/Stone,,,Merchant Bonus,Bonus de Comerciante,+3 victory points for |the player with the most |STONE in his vault at |the end of the game.,+3 puntos de victoria para |el jugador con más |PIEDRA en su tesoro al |final de la partida.,,
Leader,leader,,Standard,1,Misc/Leader,,,Leader,Líder,LEAD |a role from your hand |or |THINK |and draw new cards,LIDERA |un rol de tu mano |o |PIENSA |y roba nuevas cartas,,
Jack,jack,,Standard,6,Misc/JackSword,Misc/JackQuill,,Jack,Senador,Lead or follow any role,Lidera o sigue cualquier rol,,
